marker,ln0251_n_cells,ln0251_mean,ln0251_std,ln0251_median,ln0251_pct_nonzero,ln0265_n_cells,ln0265_mean,ln0265_std,ln0265_median,ln0265_pct_nonzero,mean_difference,mean_fold_change,cohens_d,mannwhitney_p,mannwhitney_significant,ks_statistic,ks_p,wasserstein_distance,std_ratio,abs_cohens_d,abs_log_fc
CD278,15115,0.010750099872376895,0.006029849605971061,0.009989931248128414,99.96030433344359,14297,0.004714532378398326,0.0025900117598414156,0.004376126918941736,99.9860110512695,0.006035567493978569,2.280200072361855,1.3006445225204315,0.0,True,0.6364473336325632,0.0,0.006035899057259092,2.3281077014350116,1.3006445225204315,0.35797295702377124
CD90,15115,0.00970083658009285,0.010142593112145135,0.00666008610278368,99.98676811114787,14297,0.011337966910110003,0.01738857868604183,0.0052107651717960835,99.97901657690424,-0.001637130330017153,0.8556056038042091,-0.11501236822326369,5.57804112659816e-118,True,0.2057319844679633,3.526331753281719e-273,0.0036030686051495052,0.5832901850330613,0.11501236822326369,0.06772637459584357
CD4,15115,0.017743442718597863,0.014019094234775563,0.012809338979423046,100.0,14297,0.008389508098534542,0.009101059874863496,0.0051629990339279175,100.0,0.009353934620063321,2.1149537446849584,0.7914500515005329,0.0,True,0.5110662880657724,0.0,0.009353935498352998,1.5403787057492326,0.7914500515005329,0.3253008755859014
CD11c,15115,0.008702795890126949,0.011030892078412416,0.005898487288504839,99.97353622229573,14297,0.006668175968515473,0.01075736648619094,0.004776660818606615,99.9860110512695,0.002034619921611476,1.3051219523897648,0.18674808187240022,0.0,True,0.2510246835532513,0.0,0.002069256887916725,1.0254258640638434,0.18674808187240022,0.11565109797155049
CD3,15115,0.01695314342174204,0.014207762085650558,0.011719119735062122,99.98015216672181,14297,0.006554193579362771,0.005875008662028449,0.005335154477506876,99.99300552563474,0.01039894984237927,2.5866061705990373,0.9565378963832004,0.0,True,0.3576225830221316,0.0,0.010398950893336246,2.418334800785993,0.9565378963832004,0.4127303109692451
CD68,15115,0.020009041116179346,0.019659034259795167,0.013710087165236473,100.0,14297,0.01213151494938446,0.017746261558069527,0.00783432088792324,100.0,0.007877526166794886,1.6493426176562067,0.42064859258126786,0.0,True,0.549732089419785,0.0,0.007938874972754782,1.1077839193132302,0.42064859258126786,0.2173108835667034
CD69,15115,0.008059019258097991,0.003667922949116478,0.0073057543486356735,99.97353622229573,14297,0.005665301751204947,0.002385227405581508,0.0054359035566449165,99.99300552563474,0.002393717506893044,1.4225199974889167,0.773716480097547,0.0,True,0.30830668449397686,0.0,0.002394366824614159,1.5377601158414915,0.773716480097547,0.15305838338410513
CD14,15115,0.013654229904814214,0.013126935216575144,0.009046455845236778,99.98676811114787,14297,0.006586096711633147,0.00727657728636206,0.004479261115193367,99.9860110512695,0.0070681331931810665,2.073186861776249,0.6659972696074696,0.0,True,0.3524316048343641,0.0,0.00706813885886518,1.8039961179573747,0.6659972696074696,0.31663845005501795
CD8,15115,0.04858673229374981,0.06463849718267556,0.016836870461702347,99.98676811114787,14297,0.011177637116249159,0.02965112099738331,0.0032811020500957966,100.0,0.03740909517750065,4.346776364331483,0.7439293855187713,0.0,True,0.5472938059382972,0.0,0.03740913739949554,2.1799673404828925,0.7439293855187713,0.6381672979106383
Kappa light chain,15115,0.014529528879928531,0.008392798631025926,0.013064843602478504,99.99338405557393,14297,0.011640649452551664,0.00993000258161295,0.009910214692354202,100.0,0.002888879427376867,1.2481705988524232,0.31422738802446065,0.0,True,0.2923209764517589,0.0,0.003066904048345761,0.8451951658718511,0.31422738802446065,0.0962739518680875
CD45RA,15115,0.03463989842589623,0.03348081724930532,0.023684369400143623,99.99338405557393,14297,0.0069445494884275176,0.009352996510235473,0.004282444715499878,99.99300552563474,0.027695348937468712,4.988062739417885,1.126700422817176,0.0,True,0.6137585730032123,0.0,0.027695501916333812,3.5796850149377697,1.126700422817176,0.6979319082296239
CD11b,15115,0.007898903670634495,0.005981188604906542,0.00709137599915266,100.0,14297,0.004784019322514903,0.0028612682047778467,0.004402390215545893,99.99300552563474,0.0031148843481195914,1.6510985067462216,0.664385094939028,0.0,True,0.5814120096860166,0.0,0.0031148843481195905,2.090390439810773,0.664385094939028,0.2177729872560042
Granzyme B,15115,0.014011547988011961,0.042180027870814034,0.004034527577459812,99.98015216672181,14297,0.007218700200041822,0.027472714479408224,0.002181453164666891,99.93005525634749,0.006792847787970139,1.9410043622378392,0.1908409687924695,0.0,True,0.42896315351163683,0.0,0.006792907894420412,1.5353420044826442,0.1908409687924695,0.2880265136658633
CD31,15115,0.004420318326448844,0.005267773973400814,0.003385671880096197,100.0,14297,0.002701574894633571,0.0034008427219270844,0.002169112442061305,99.99300552563474,0.0017187434318152728,1.6361944928065615,0.38765462481596963,0.0,True,0.4038008061623378,0.0,0.0017187487919171605,1.5489568070492166,0.38765462481596963,0.21383492920976999
CD45,15115,0.05109805388778161,0.034039437321584314,0.043825726956129074,100.0,14297,0.02786808376528846,0.01822644924837574,0.024432992562651634,100.0,0.02322997012249315,1.8335683207520848,0.8508268038324711,0.0,True,0.35633474827793754,0.0,0.023229979708069594,1.8675836517516562,0.8508268038324711,0.26329709925195993
CD38,15115,0.017315159227831448,0.007678988685426679,0.01657942309975624,99.98676811114787,14297,0.006709373233753627,0.005004705446393852,0.005400422029197216,100.0,0.010605785994077821,2.5807378449813667,1.6363699714184834,0.0,True,0.6640439894362382,0.0,0.01060582731885924,1.5343507073833287,1.6363699714184834,0.4117438922164523
CD44,15115,0.025668708346795955,0.023566183214001425,0.019804708659648895,100.0,14297,0.01528784800844293,0.013637364673898787,0.011382576078176498,99.99300552563474,0.010380860338353025,1.6790258211856794,0.5391860045119855,0.0,True,0.29593960698272975,0.0,0.010380862035936963,1.728058646002141,0.5391860045119855,0.22505737764793926
CD15,15115,0.0026789520970470415,0.009396032878784941,0.002412392757833004,100.0,14297,0.0023622824740014018,0.004755779202993029,0.0022495656739920378,100.0,0.0003166696230456397,1.1340475942461357,0.042525499915426,0.0,True,0.20944152234190827,3.336664404178792e-283,0.0003167204348073381,1.9757042370321207,0.042525499915426,0.05463128544531902
Lambda light chain,15115,0.0026840574660121443,0.0024474899111780715,0.0026572495698928833,99.98676811114787,14297,0.0025125508428996946,0.003335758458110208,0.0021616946905851364,99.99300552563474,0.00017150662311244975,1.0682557095471286,0.05862385192326154,0.0,True,0.3113186213060389,0.0,0.0005207400592241462,0.7337109700247698,0.05862385192326154,0.028675226751211362
Mast cell tryptase,15115,0.007518608056260256,0.002678876367705659,0.007126178126782179,99.99338405557393,14297,0.005568436263946657,0.0020252367403957522,0.005354343447834253,100.0,0.0019501717923135998,1.3502165056238535,0.8212411780072228,0.0,True,0.40553923498682815,0.0,0.0019506379957242716,1.3227407378432228,0.8212411780072228,0.13040341590316235
DRAQ5,15115,0.11952960782456716,0.03611351096682893,0.11722175776958466,100.0,14297,0.1246289614672836,0.051798722260824936,0.11340584605932236,100.0,-0.0050993536427164365,0.9590836417673955,-0.11420653110176068,0.10733158699081095,False,0.07472671977824263,3.99147099986492e-36,0.009109218884622978,0.697189089203663,0.11420653110176068,0.018143511790132624
DNA,15115,0.0587461895857461,0.022735344777466655,0.05569179356098175,100.0,14297,0.053554704523427574,0.023109025589413402,0.04814336076378822,100.0,0.005191485062318528,1.096937778653409,0.22647536888721043,2.1814697096987967e-141,True,0.15772095915877132,4.210615068576822e-160,0.005762794772690948,0.9838292337860286,0.22647536888721043,0.04018199784757549
